username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-09-10 08:34;0;10;"I hate you";;;;"906873522059747328";https://twitter.com/Nidhi/status/906873522059747328
;2017-09-10 06:56;6;79;"Yeah that's pretty much it";;;;"906848759677464576";https://twitter.com/Nidhi/status/906848759677464576
;2017-09-10 06:49;870;2962;"I'm so sorry you've always had to pay for sex. Must hurt https:// twitter.com/tanyakukreja4/ status/906846708331536385 …";;;;"906847198876274689";https://twitter.com/Nidhi/status/906847198876274689
;2017-09-10 06:42;1148;1912;"Simple apology isn't possible? What is the need for "sarcasm" on the death of a soldier? https:// twitter.com/sirpareshrawal /status/906834216515710977 …";;;;"906845325331120128";https://twitter.com/Nidhi/status/906845325331120128
;2017-09-10 04:27;0;38;"Which planet is that? Give me the address";;;;"906811348394430465";https://twitter.com/Nidhi/status/906811348394430465
;2017-09-10 00:21;0;10;"Oh my god, totally agree!";;;;"906749516589686784";https://twitter.com/Nidhi/status/906749516589686784
;2017-09-09 23:59;1;1;"ISI just trains it's pigeons well";;;;"906743860147011584";https://twitter.com/Nidhi/status/906743860147011584
;2017-09-09 23:46;0;24;"This can't be real";;;;"906740707666280448";https://twitter.com/Nidhi/status/906740707666280448
;2017-09-09 23:22;1;21;"Summed up beautifully";;;;"906734484053139457";https://twitter.com/Nidhi/status/906734484053139457
;2017-09-09 22:57;5;58;"I have a screenshot . The internet doesn't forget";;;;"906728288013262848";https://twitter.com/Nidhi/status/906728288013262848
;2017-09-09 12:17;0;12;"I don't block unless someone abuses. So he's free to rant";;;;"906567209903841280";https://twitter.com/Nidhi/status/906567209903841280
;2017-09-09 12:16;6;19;"Yes. He and @divyaspandana are very upset about why Sambit was asked to leave my show. Among other things. Quite a sad state of affairs";;@divyaspandana;;"906566882362134529";https://twitter.com/Nidhi/status/906566882362134529
;2017-09-09 12:13;2;15;"@divyaspandana has been busy liking his tweets all evening. So clearly the party has given this bully importance";;@divyaspandana;;"906566336641302528";https://twitter.com/Nidhi/status/906566336641302528
;2017-09-09 11:58;5;37;"Haha he really doesn't get it. Don't waste your time anymore.";;;;"906562517471698944";https://twitter.com/Nidhi/status/906562517471698944
;2017-09-09 11:02;3;32;"I haven't written any obituary of the Congress. I don't believe in writing off any party. Am only pointing out what I see as a weakness";;;;"906548445887979520";https://twitter.com/Nidhi/status/906548445887979520
;2017-09-09 11:01;1;6;"Brilliant";;;;"906548085626519552";https://twitter.com/Nidhi/status/906548085626519552
;2017-09-09 10:41;507;873;"Disgusting. To see religion in everything. Even the murder of a little boy https:// twitter.com/joydas/status/ 906542315119853568 …";;;;"906543195357511680";https://twitter.com/Nidhi/status/906543195357511680
